id,title,category,domain,module,page,url,role,severity,priority,riskScore,likelihood,techImpact,bizImpact,userImpact,status,description,expectedBehavior,actualBehavior,reproduction,recommendation,workaround,suggestedOwner,estimatedEffort,targetSprint
"BIZ-015","Approval/payout/leave transitions lack an atomic status guard (race-condition double-processing)","Concurrency / idempotency","BIZ","expense, leave, payroll","multiple","expense.approve / expense.markPaid / leave.request.updateStatus","approver roles","Low","P3","6","2","2","3","1","suspected","State-changing updates read the current status, then update WHERE id = ... (not WHERE id AND status = expected). Two concurrent requests can both pass the status check and both apply the transition (e.g. approve+approve, or markPaid twice, or approve leave twice decrementing the balance twice). The guards are read-then-write rather than a conditional atomic update.","Transitions should use an atomic conditional update (WHERE id AND status = expected) or a transaction/row lock so only one concurrent actor can perform the transition.","Read-check-then-unconditional-update by id; no atomic guard.","Fire two concurrent expense.markPaid calls for the same approved expense; both can read 'approved' before either writes 'paid', so both proceed (and any downstream payment fires twice).","Use conditional updates (.where(and(eq(id), eq(status, expected)))) and treat a zero-row result as 'already processed'; wrap balance-affecting leave approval in a transaction.","Low real-world likelihood at current scale; prioritise after the higher-severity SoD/calc items.","Backend squad","M (1 day across modules)","backlog"
"PRIV-002","Permissive CSP connect-src 'https:' and img-src 'https:' allow PII exfiltration to any HTTPS host","security-headers","PRIV","apps/web (Next config / CSP)","all routes","N/A","all","Low","Medium","6","2","3","3","3","confirmed","connect-src permits 'https:' (any TLS origin) and img-src permits 'https:' (any TLS origin). Combined with script-src 'unsafe-inline' (PRIV-001), an injected script can beacon PII to an attacker-controlled https endpoint (fetch or an <img> pixel with data in the query string) without CSP interference.","connect-src and img-src should enumerate the specific origins the app actually needs (self + Supabase + Perplexity CDN + Sentry).","connect-src 'self' https: and img-src 'self' blob: data: https: are wide open to all HTTPS hosts.","Inspect CSP header; note connect-src/img-src accept arbitrary https origins.","Replace 'https:' with an explicit allow-list of required origins for connect-src and img-src.","N/A","Platform","S","next"
"PRIV-006","User email placed in reset URL query string (leaks via history / referrer)","privacy-pdpl","PRIV","apps/web (auth API)","/reset-password","/reset-password?email=...&token=...","unauthenticated","Low","Low","6","2","2","2","3","confirmed","The reset link carries the user's email as a query parameter. Query strings land in browser history, proxy logs, and (for any off-site navigation) the Referer header. Email is PII under PDPL and need not be in the URL — the token alone identifies the request server-side.","Identify the reset by token only; resolve the email server-side from the token record.","email is included as a query parameter alongside the token.","Generate a reset link; observe email present in the URL.","Drop the email param; look it up from the verificationTokens row by token hash during reset.","N/A","Backend/Auth","S","next"
"PRIV-007","Authentication failures log user email (PII) via console, bypassing the redacting logger","privacy-pdpl","PRIV","packages/auth","credentials sign-in","N/A","unauthenticated","Low","Medium","6","3","2","2","2","confirmed","Failed-login and MFA-failure paths log the account email through console.warn. A redacting pino logger exists in packages/config (redacts authorization/cookie/password) but is not used here, and its redact list does not cover email or PII fields anyway. Emails are PII and accumulate in logs on every failed attempt.","Log a hashed/opaque account identifier, not the raw email; route through the redacting logger.","console.warn('[auth] failed login attempt for', email) and MFA-failure log the email.","Trigger a failed login; observe email in server logs.","Remove email from these log lines (or hash it) and route auth logging through the redacting logger; extend redact paths to cover PII.","N/A","Backend/Auth","S","next"
"UX-006","Icon-only ""clear search"" button has no accessible name","Accessibility","UX","Super Admin","Super Admin dashboard","/super-admin","Super Admin","Low","P4","6","3","1","1","2","confirmed","The small 'X' button that clears the tenant filter text renders only a lucide `<X>` icon with no `aria-label`, so it has no accessible name.","The button should expose an accessible name, e.g. `aria-label=""Clear filter""`.","Screen readers announce it as an unlabeled 'button'.","Type text into the tenant filter, tab to the clear (X) button, listen with a screen reader — it announces only 'button'.","Add `aria-label=""Clear filter""` to the button.","Sighted users can infer purpose from the icon.","Frontend","S","Backlog"
"UX-012","Shared Table component's header cells omit explicit scope=""col""","Accessibility","UX","packages/ui Table","All tables (Employees, Documents, Compliance, Qiwa, Payroll, Retention, etc.)","N/A (shared component)","All roles viewing tabular data","Low","P4","6","3","1","1","2","confirmed","The shared `TableHead` renders a bare `<th>` with no `scope` attribute. Most browsers/screen readers infer `scope=""col""` for `<th>` inside a `<thead>`, so this is not a hard failure, but explicit scope is recommended best practice, particularly for the app's data-dense HR tables which are otherwise the most tabular-heavy content in the product.","`TableHead` should default to `scope=""col""` (with an override prop for any future row-header use).","No scope attribute is emitted.","Inspect any TableHead render (e.g. /employees) — the `<th>` has no `scope` attribute.","Default `scope=""col""` in TableHead, consumed once by all ~15+ tables in the app.","None needed; most AT infers this correctly already.","Frontend / Design system","S","Backlog"
"API-010","AI chat forwards client-supplied model string to the LLM provider","Improper Input Validation / Resource Abuse","API","tRPC - ai.chat.send","ai.chat.send","trpc/ai.chat.send","authenticated","Low","P3","4","2","2","2","1","suspected","ai.chat.send passes input.model (validated only as z.string().min(1).optional()) straight to getLlmClient().complete({ model: input.model }). If packages/llm does not allowlist the model, a client could request an arbitrary or more expensive model, driving up cost. The message array is well-bounded (max 20 messages, 8000 chars each) and temperature is capped, which limits other abuse.","The model override should be constrained to a server-side allowlist of approved models.","Any non-empty model string is forwarded to the provider.","Call ai.chat.send with model set to an expensive/unexpected model id and observe whether packages/llm rejects it.","Validate model against z.enum([...approvedModels]) or resolve it server-side per topic; ignore client model unless it is in the allowlist.","Drop input.model server-side and pick the model per provider.","AI/Backend team","S","backlog"
"API-011","company/profile PATCH and company/invite POST parse body without Zod","Improper Input Validation","API","REST API - company","/api/company/profile, /api/company/invite","/api/company/profile","company admin","Low","P3","4","2","1","2","1","confirmed","Both handlers destructure request.json() manually instead of validating with a Zod schema. company/profile PATCH writes industry/companySize/website with no length/format bounds (unbounded strings). company/invite POST validates email only via `email?.trim()` (no email-format check) though it does allowlist the role. Both are auth+role gated so the risk is limited to authenticated tenant admins, but this deviates from the project's Zod-everywhere convention and permits unbounded/malformed data.","All request bodies validated with a Zod schema (bounded strings, emailSchema).","Manual destructuring; no schema; unbounded strings; email format unchecked on invite.","PATCH /api/company/profile with a multi-megabyte website string, or POST /api/company/invite with email='not-an-email' -> accepted.","Introduce Zod schemas (bounded strings + emailSchema) and safeParse the body, matching signup/reset routes.","Add length caps and an email regex check inline.","Backend/API team","S","backlog"
"API-012","Password-reset link (raw token) logged to server console in all environments","Sensitive Data in Logs","API","REST API - request-reset","/api/auth/request-reset","/api/auth/request-reset","anonymous","Low","P3","4","2","2","2","2","confirmed","request-reset generates a single-use reset token and, because email delivery is still a TODO, logs the full reset URL (including the raw token) via console.info for every request in every environment. Anyone with access to server/log aggregation can read valid reset tokens and take over accounts within the token TTL (1 hour).","Reset tokens/links must never be logged; deliver via the email package. Any diagnostic logging should be gated to non-production and must not include the raw token.","console.info logs email + full reset URL with the raw token unconditionally.","Trigger a reset for a known email and read the reset URL (with token) from server logs; use it to reset the password.","Remove the token from logs; wire up @hrms-app/email delivery. If a dev fallback is needed, gate it to NODE_ENV!=production and log only that a link was generated (no token).","Delete the console.info line and rely on email delivery.","Auth team","S","next"
"AUTH-010","Reset token transmitted in URL query string (history / Referer / access-log leakage)","Password Recovery / Sensitive Data in URL","AUTH","apps/web/app/api/auth/request-reset, reset-password UI","/reset-password","/reset-password?email=&token=","anonymous","Low(P3)","P3","4","2","2","2","2","best-practice","The reset link carries the raw token (and email) as URL query parameters. Tokens in URLs are recorded in browser history, may leak via the Referer header to any third-party asset on the reset page, and land in server/proxy access logs. Token TTL (1h), single-use and hashed storage limit the window, but query-string delivery is discouraged.","Prefer delivering the token via a path segment with a strict no-referrer policy, or accept the token in a POST body / fragment; ensure Referrer-Policy: no-referrer on the reset page.","email + raw token are in the query string and read client-side from useSearchParams.","Open a reset link; the token is visible in the address bar and browser history and is sent as Referer to any external resource loaded by the page.","Set Referrer-Policy: no-referrer on the reset route and keep the reset page free of third-party assets; consider a path-based token.","Short TTL (already 1h) and single-use (already enforced) limit exposure.","Auth/Frontend","S (1-2h)","backlog"
"AUTH-011","Diagnostics endpoint discloses env wiring (AUTH_SECRET length, DB host/port) outside production","Information Disclosure","AUTH","apps/web/app/api/auth/debug","/api/auth/debug","/api/auth/debug","anonymous","Low(P3)","P3","4","2","2","2","1","confirmed","The debug endpoint returns AUTH_SECRET length, AUTH_URL/NEXTAUTH_URL values, DB hostname and port, NODE_ENV and demo-mode state to anonymous callers. It is correctly disabled in production unless ENABLE_DEBUG_ENDPOINT=true (good), but in any non-production/preview environment it is fully open and leaks internal hostnames and the secret length. Preview deployments of a SaaS are frequently internet-reachable.","Diagnostics should require authentication (platform-operator) even in non-prod, and should never echo secret metadata such as AUTH_SECRET length.","Anonymous GET returns env wiring in all non-prod environments.","GET /api/auth/debug on a preview/staging deployment -> returns dbHost, dbPort, authSecretLength, etc.","Require platform-operator auth for this endpoint in all environments and drop authSecretLength/dbHost/dbPort from the payload.","Ensure preview deployments are access-controlled.","Platform","S (1-2h)","backlog"
"BIZ-012","Offer outcome transitions (send/accept/decline) set status unconditionally with no state-machine guard","Workflow / state-machine bypass","BIZ","recruitment","/recruitment/offers","recruitment.offer.send / accept / decline / update","super_admin, hr_manager","Low","P3","4","2","2","2","2","confirmed","The offer send/accept/decline mutations each set the status directly by id with no check of the current status. An offer can be moved to 'accepted' without ever being 'sent', re-accepted after being declined, or flipped between accepted and declined, and update can set any status with side-effect timestamps. There is no enforced draft -> sent -> accepted/declined lifecycle.","Only a 'sent' offer should be acceptable/declinable; terminal states (accepted/declined) should be immutable; illegal transitions rejected.","Status is overwritten unconditionally regardless of prior state.","Create an offer (status draft), call offer.accept -> accepted without being sent; then call offer.decline -> declined. Both succeed.","Guard each transition on the required prior status and make accepted/declined terminal; reject illegal transitions with a clear error.","Operational discipline; review offer audit history.","Backend / Recruitment squad","S (0.5 day)","backlog"
"BIZ-013","Referral creation trusts client-supplied referrerEmployeeId and rewardAmount (self-crediting)","Business rule / input trust","BIZ","recruitment","/recruitment/referrals","recruitment.referral.create","any staff role (protectedProcedure)","Low","P3","4","2","1","2","1","suspected","referral.create is a bare protectedProcedure and inserts input directly; createReferralSchema carries a required client-supplied referrerEmployeeId and an optional rewardAmount. A user can create a referral crediting any employee (including themselves) and propose the reward amount. The reward payout transition (status='reward_paid') is HR-gated via referral.update, so money is not moved directly, but the referrer-of-record and proposed amount are attacker-controlled.","referrerEmployeeId should default to the caller's own employee id (or be validated), and rewardAmount should be set by policy/HR, not the submitter.","Both fields are taken verbatim from the client at create.","Call recruitment.referral.create with referrerEmployeeId = own id and rewardAmount = 10000. A referral crediting the caller is created (payout still requires HR).","Default referrerEmployeeId to the session employee (mirror the recognition.create SEC-010 fix) and derive rewardAmount from the reward policy rather than the client.","HR verifies referrer and amount before marking reward_paid.","Backend / Recruitment squad","S (0.5 day)","backlog"
"PRIV-012","Notifications: no unsubscribe / channel preferences; payslip email exposes net pay","notifications","PRIV","apps/web + packages/email","notifications / email templates","trpc notification.*","employee","Low","Low","4","2","2","2","2","confirmed","The notifications table supports email/sms/in_app channels but there is no user preference/unsubscribe surface — a data subject cannot opt out of a channel. The PayslipReady email template renders net pay ('{netPay} SAR') in the message body, so salary lands in the mail transport/inbox if/when dispatch is wired. Note: no email dispatch (resend.emails.send) is currently implemented anywhere, so templates are defined but unsent; this is both a functional gap and a reason to fix the payslip content before go-live.","Per-user notification preferences/opt-out; sensitive emails avoid embedding salary figures (link to the app instead).","No preferences model; payslip email body includes net pay; no dispatch implemented.","Review notification router/schema for a preferences/unsubscribe surface (none); review payslip template for net pay.","Add a per-user notification-preferences table with opt-out and an unsubscribe path; remove the salary figure from the payslip email (link to the secured payslip instead) before wiring dispatch.","Keep email dispatch disabled until content/preferences are addressed.","Product/Backend","M","backlog"
"PRIV-013","Audit log retains salary old/new values as plaintext JSON","audit-logging","PRIV","packages/db + apps/web audit helper","audit_logs","N/A","super_admin/hr_manager","Low","Low","4","2","2","2","2","confirmed","For salary changes, writeAudit records old/new salary values in the audit_logs.newValue / oldValue jsonb columns in plaintext. This is inherent to an audit trail and access is restricted (HR Manager / super admin, tenant-scoped), but note the employee salary/PII fields are encrypted at rest in the employees table while their historical values sit unencrypted in audit_logs. Any DB-level exposure of audit_logs discloses salary history.","Sensitive audit payloads are protected commensurately with the source columns (access control at minimum; consider encryption/tokenisation for salary snapshots).","Salary before/after values stored as plaintext jsonb in audit_logs.","Change a salary; inspect audit_logs row — salary values are plaintext.","Restrict audit_logs at the DB layer; consider encrypting or masking salary snapshots in audit payloads, or storing field-change markers instead of raw values where full fidelity is not required.","Ensure audit_logs access is tightly controlled and monitored.","Backend/Security","M","backlog"
"QA-010","Only 3 Playwright e2e specs exist; no end-to-end coverage of payroll run, leave approval, or recruitment pipeline","Test Coverage","QA","E2E","n/a","n/a","all","Low","P4","4","2","2","2","2","confirmed","apps/web/e2e/ contains exactly 3 Playwright specs: auth.spec.ts, attendance-guide-map.spec.ts, attendance-reports.spec.ts (plus a non-test production-performance.mjs script). There is no e2e coverage for payroll run creation/approval, leave request/approval, employee onboarding, or the recruitment pipeline — all multi-step, high-value user flows.","Critical multi-step flows (per CLAUDE.md's own testing rule requiring E2E for critical flows) should have at least a smoke-level Playwright spec.","E2E coverage is limited to auth and two attendance screens.","find apps/web/e2e -type f","Add smoke-level Playwright specs for: leave request -> manager approval, payroll run creation -> approval -> payslip view, and recruitment candidate -> offer -> onboarding happy path.","docs/e2e-status.md may already track this gap — cross-check before duplicating planning.","e2e-runner","M","Backlog"
"QA-011","Two router files exceed the project's own 800-line file-size guideline","Maintainability","QA","apps/web/trpc/routers","n/a","n/a","n/a","Low","P4","4","2","2","1","1","confirmed","apps/web/trpc/routers/retention.ts is 1611 lines (2x the 800-line max) and recruitment.ts is 812 lines. Both are flat single-file routers covering many unrelated sub-domains (retention.ts alone spans goals, review cycles, reviews, skills, succession planning, engagement surveys, rewards, compensation, and talent reviews).","Per the project's coding-style guideline (200-400 lines typical, 800 max), large routers should be split by sub-domain into separate files/modules.","retention.ts and recruitment.ts remain single monolithic files well past the stated maximum.","find apps packages -name '*.ts' -o -name '*.tsx' | xargs wc -l | sort -rn | head","Split retention.ts into per-sub-domain router files (goal.ts, review.ts, skill.ts, succession.ts, engagement.ts, reward.ts, compensation.ts) merged via createTRPCRouter composition, mirroring the pattern already used for top-level routers in trpc/index.ts.","None needed urgently; purely a maintainability concern.","refactor-cleaner","M","Backlog"
"QA-012","Leading-wildcard LIKE search on employees.fullName cannot use a standard index","Performance","QA","Employees list","Employees","/employees","all","Low","P4","4","2","2","1","2","confirmed","The employee search filter uses `like(schema.tenant.employees.fullName, \`%${input.search}%\`)` with a leading wildcard, which prevents a standard btree index from being used even if one existed (see QA-001) — Postgres would need a trigram (pg_trgm) or full-text index to serve this efficiently.","Name search should use an index-friendly strategy (trigram index, or a prefix-only search) once tenant employee counts grow large.","Leading-wildcard LIKE forces a full scan of the filtered result set for the search term.","Read apps/web/trpc/routers/employee.ts line 21.","Add a pg_trgm GIN index on employees.full_name (CREATE EXTENSION pg_trgm; CREATE INDEX ... USING gin (full_name gin_trgm_ops)) if/when tenant sizes grow past a few thousand employees.","Acceptable at current demo/pilot scale.","database-optimizer","S","Backlog"
"RBAC-007","recruitment.application.create and recruitment.referral.create trust full client payload on bare protectedProcedure (residual SEC-010)","IDOR / spoofed create","RBAC","tRPC router recruitment","/recruitment","recruitment.application.create, recruitment.referral.create","any staff role (payroll_admin, department_manager, hr_specialist included)","Low","P3","4","2","2","2","2","confirmed","SEC-010's create-spoofing sub-item was only partially remediated. offer.accept/decline, recognition.create/update and surveyResponse.create/update were fixed, but recruitment.application.create and recruitment.referral.create remain bare protectedProcedure that insert the raw client payload (including referrerEmployeeId) with no session binding and no recruitment:manage gate. Any staff role that passes canAccessProcedure (recruiter, but also payroll_admin, department_manager, hr_specialist) can create applications/referrals with a spoofed referrer to credit an arbitrary employee. It is not reachable by employee/candidate (not in their allowlists), so impact is staff-internal.","Bind referrer/owner ids to the session where applicable and gate creation to requireRole(super_admin, hr_manager, recruiter) (recruitment:manage), consistent with the other recruitment mutations.","Staff roles without recruitment:manage can create applications/referrals with client-controlled owner fields.","Login as payroll_admin -> call recruitment.referral.create with an arbitrary referrerEmployeeId -> row created crediting that employee.","Change both to requireRole(super_admin, hr_manager, recruiter) and bind referrerEmployeeId to the session for self-referrals.","None client-side.","Backend","S","Backlog"
"RBAC-008","ai.assistant.list / getById remain companyProcedure (assistant config readable by all staff roles)","Over-permissive read","RBAC","tRPC router ai","/ai","ai.assistant.list, ai.assistant.getById","any staff role (recruiter, department_manager, payroll_admin)","Low","P3","4","2","2","1","1","confirmed","Phase 2 moved ai.assistant.create/update/delete to requireCapability('settings:manage') but left the corresponding reads (ai.assistant.list, ai.assistant.getById) on companyProcedure, so any staff role can read the AI assistant configuration (prompts, model settings). Low sensitivity, but inconsistent with the settings:manage gating applied to the writes.","Reads of settings-managed configuration should be requireCapability('settings:manage') (or at least align with who may manage them).","Any staff role reads AI assistant configuration.","Login as recruiter -> call ai.assistant.list -> returns assistant configs.","Gate ai.assistant.list/getById on requireCapability('settings:manage') to match the write path.","None client-side.","Backend","S","Backlog"
"UX-013","Table rows use role=""link"" plus a nested real <button>, an unconventional interactive pattern","Accessibility","UX","Employees","Employees list","/employees","HR Manager, HR Specialist","Low","P4","4","2","1","1","2","best-practice","Each employee `<tr>` is given `role=""link""`, `tabIndex={0}`, an `aria-label`, and both click and Enter/Space keydown handlers to navigate to the employee's profile — genuinely more accessible than a typical unlabeled div-onClick pattern, and this is the only such pattern found in a repo-wide scan for onClick divs (none found). However, `role=""link""` on a `<tr>` that performs a client-side `router.push` (not a real href) is non-standard — links normally support right-click/open-in-new-tab and show a URL on hover/status bar, neither of which this provides. The row also contains a real nested `<Button>` (""View"") that duplicates the row's own action, i.e. two overlapping interactive targets on one row.","Either wrap the row's primary cell content in a real `<a href=""/employees/{id}"">` (progressively enhanced with client routing) so link semantics are accurate, or use `role=""button""` if it must stay a synthetic control — and drop the redundant nested 'View' button once the row itself is fully operable.","Row exposes `role=""link""` without real link affordances, plus a redundant nested button performing the same navigation.","Inspect any employee row's accessibility tree — role is 'link' but there is no href; a nested button with the same destination sits inside it.","Consider using `role=""button""` (since it triggers a client-side action, not a navigable href) and drop the duplicate 'View' button, or convert the whole row to a real anchor for proper link semantics.","Row is already keyboard operable via Enter/Space; not blocking.","Frontend","S","Backlog"
"API-008","Raw SQL string interpolation in demo seed endpoint","SQL Injection (defense-in-depth) / Insecure Coding Pattern","API","REST API - seed","/api/seed/demo-data","/api/seed/demo-data","operator (token)","Low","P3","3","1","3","2","1","confirmed","apps/web/app/api/seed/demo-data/route.ts builds INSERT/UPDATE statements by string-interpolating values (emp.id, t.id, balance, year, department ids) directly into SQL passed to adminDb.execute(). The interpolated values are trusted (UUIDs/numbers read from the DB, not user input) and the endpoint is guarded by a NODE_ENV!=production check plus MIGRATION_TOKEN, so exploitability is low - but the pattern is an injection-prone anti-pattern and the only string-concatenated SQL in the codebase alongside the migrate routes.","All queries should use Drizzle's parameterized builder or sql`` with bound parameters, never raw string interpolation - per the project's 'never raw SQL' convention (CLAUDE.md).","Values are concatenated into raw SQL strings via .replace() and template literals.","Not remotely exploitable in production (blocked by NODE_ENV guard + token); flagged as an insecure pattern / defense-in-depth gap.","Delete the demo seed/migrate endpoints after the demo (as their own comments state), or rewrite using parameterized Drizzle inserts.","Ensure NODE_ENV=production in all live environments (currently the case) and remove the endpoints post-demo.","Backend/API team","S","backlog"
"API-013","Unauthenticated /api/vitals accepts partially-validated payload (crash + log injection)","Improper Input Validation","API","REST API - vitals","/api/vitals","/api/vitals","anonymous","Low","P3","3","2","1","1","1","confirmed","/api/vitals is unauthenticated (acceptable for a beacon) and validates payload.name against an allowlist, but does not validate that payload.value is a number before calling payload.value.toFixed(2) - a non-numeric value throws outside the try/catch, yielding an unhandled 500. payload.path is logged unsanitized (log-injection vector). Low sensitivity, but input is not fully validated (no Zod).","Validate the whole payload with Zod (name enum, value number, bounded path) before use.","Only name is checked; value type and path content are trusted.","POST /api/vitals {""name"":""LCP"",""value"":""x"",""rating"":""poor""} -> value.toFixed throws -> 500; or set path to a CRLF string to inject log lines.","Validate the payload with a Zod schema (value: z.number(), path bounded/stripped of control chars) and wrap logging in the try/catch.","Coerce/guard value and strip control characters from path.","Frontend/Platform team","S","backlog"
"PRIV-004","Vercel OIDC JWT tokens stored in local .env.local / .env.production.local","secret-hygiene","PRIV","repo root","N/A","N/A","N/A","Low","Low","2","1","2","2","1","confirmed","VERCEL_OIDC_TOKEN (a signed JWT) is present in both .env.local and .env.production.local. These files are gitignored and the tokens are short-lived (exp claim ~12h from iat), so residual risk is low, but they are auto-generated bearer tokens sitting on disk.","Ephemeral OIDC tokens are fine when gitignored and short-lived; ensure they are never committed or shared.","Tokens present on disk (gitignored, not committed).","Open .env.local / .env.production.local.","No action beyond confirming .gitignore coverage (already present). Do not paste these files into shared channels.","N/A","DevOps","S","backlog"
"AUTH-012","Password minimum length of 8 and no breached-password / max-length-independent checks","Password Policy (best practice)","AUTH","packages/validators/src/auth.ts","/signup, /reset-password","n/a","all","Info(P4)","P4","4","2","2","1","1","best-practice","The shared password policy requires 8+ chars with upper/lower/digit/special (good composition, and a 128 max that safely bounds bcrypt input). For a product holding payroll/PII, an 8-char minimum is on the low side; there is no check against known-breached passwords (e.g. HaveIBeenPwned k-anonymity) and no MFA-required compensating control for admins (see AUTH-006). Note bcrypt truncates input at 72 bytes - acceptable here given the 128-char cap and complexity, but worth documenting.","Raise the minimum to 12 for privileged roles and/or add a breached-password screen; document the bcrypt 72-byte behavior.","8-char minimum, no breach check.","Register with an 8-char password like 'Passw0r!' - accepted.","Increase minimum length (12 for privileged roles), add a breached-password check, and pair with enforced MFA for admins.","Enforce MFA for privileged roles (AUTH-006).","Auth","S (2-4h)","backlog"
"DB-012","Deterministic (SIV) field encryption leaks plaintext equality — deliberate, documented tradeoff for the iqama unique index","Database Security / Cryptographic design (informational)","DB","packages/db crypto.ts","N/A","N/A","system","Info","P4","4","2","2","1","1","best-practice","encryptField derives the AES-GCM IV as HMAC(ivKey, plaintext) truncated to 12 bytes (a synthetic-IV/SIV construction), making ciphertext deterministic. This is required so the iqama partial unique index and equality lookups work on the encrypted column. The known cost is that equal plaintexts produce equal ciphertexts (equality is observable). The code is a correct authenticated-encryption construction: AES-256-GCM, 16-byte tag, domain-separated enc/iv subkeys via HMAC labels, tamper rejection on read (verified by crypto.test.ts). Recording as a strength with a documented caveat, not a defect.","For a column needing a unique index, deterministic encryption is the accepted design; equality leakage is inherent and acknowledged in code comments.","As designed. Note: fields that do NOT need equality/uniqueness (e.g., bank_iban_enc, and mfa_secret per DB-011) would be better served by randomized IVs to avoid unnecessary equality leakage.","encryptField('X') === encryptField('X') (true, by design); different plaintexts differ.","Keep deterministic encryption for iqama (unique-index requirement). For fields not needing equality (IBAN, MFA secret), consider a randomized-IV variant to remove equality leakage. Document the field-by-field choice.","None required.","Security","S (optional)","Backlog"
"PRIV-009","Consent capture labelled 'GDPR' in a Saudi PDPL product","privacy-pdpl","PRIV","apps/web (recruitment)","recruitment/candidates/new","/recruitment/candidates/new","recruiter/hr","Info","Low","2","1","1","2","1","confirmed","Candidate creation captures explicit consent (a genuine strength), but the field and validation message are named for GDPR while the product's governing regime is Saudi PDPL. The consent language/basis should reference PDPL to be accurate for the jurisdiction.","Consent wording and field naming reference the applicable PDPL basis.","Field named gdprConsent with a GDPR-worded validation message.","Open candidate create form; consent label references GDPR.","Rename to reflect PDPL and have legal confirm the consent wording/basis for KSA.","N/A","Product/Legal","S","backlog"
"RBAC-009","Debug endpoint /api/auth/debug leaks env/config metadata (production-gated)","Information disclosure","RBAC","REST route (custom)","n/a","/api/auth/debug","anonymous (non-production only)","Info","P4","2","1","2","1","1","confirmed","GET /api/auth/debug returns AUTH_SECRET length, AUTH_URL/NEXTAUTH_URL values, DB host/port, NODE_ENV and DEMO_MODE. It is correctly disabled in production (returns 404 unless ENABLE_DEBUG_ENDPOINT === 'true'), so risk is limited to non-production environments. Recorded for completeness; if a non-prod environment is internet-reachable this leaks the auth-secret length and DB host.","Diagnostic endpoints should not be shipped as public HTTP routes; if kept, restrict by network/auth even outside production.","In non-production, anonymous callers receive env/config metadata.","In a non-prod deployment: curl /api/auth/debug -> 200 JSON with authSecretLength, dbHost, etc.","Delete the route or require an operator token even in non-production; never expose AUTH_SECRET length or DB host.","Ensure NODE_ENV=production and ENABLE_DEBUG_ENDPOINT unset in all internet-reachable deployments.","Backend / Platform","S","Backlog"
